branche,beschaeftigte_total,beschaeftigte_gross,grossfirmen_anteil
Bau,315272,12322,0.0391
Beratung,169185,23522,0.139
Bildung,263656,31374,0.119
Detailhandel,415874,9468,0.0228
Dienstleistungen,449339,42391,0.0943
Finanzen,173959,48691,0.2799
Gastgewerbe,248750,5914,0.0238
Gesundheit,268268,131270,0.4893
ICT,204509,62637,0.3063
Immobilien,29011,1146,0.0395
Industrie,564744,177244,0.3138
Landwirtschaft,178798,0,0.0
Medien,97021,16514,0.1702
Recht,62792,4371,0.0696
Sicherheit,17583,5797,0.3297
Soziales,215271,9691,0.045
Transport,216692,54971,0.2537
Umwelt,42858,6783,0.1583
Versicherungen,55001,25590,0.4653
Verwaltung,48930,2355,0.0481
Öff. Verwaltung,158122,23824,0.1507
