beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,score_gesamt,score_digital,score_wiederholbarkeit,score_physisch,score_kreativitaet,score_sozial,haupt_risiko,zeitrahmen,begruendung,delta_branche,delta_lohn,score_ch,adaptabilitaet,beschreibung_hash,lohnklasse
Dipl. Pflegefachperson,2221,130.0,84.0,Gesundheit,82000,Tertiär,http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,Diplomat/Diplomatin,Diplomaten/Diplomatinnen vertreten ihr Land und dessen Regierung gegenüber internationalen Organisationen. Sie verhandeln mit den Beamten/Beamtinnen der Einrichtung über die Wahrung der Interessen ihres Herkunftslands und fördern den produktiven und freundlichen Austausch zwischen dem Herkunftsland und der internationalen Organisation.,2.1,3.5,2.0,2.0,2.5,1.0,"Dokumentation, Pflegeplanung und administrative Aufgaben könnten teilweise durch KI-gestützte Systeme unterstützt oder automatisiert werden",>10 Jahre,"Dipl. Pflegefachpersonen in der Schweiz arbeiten in einem hochgradig körperlichen, empathischen und situativ anspruchsvollen Umfeld, das fundamentale menschliche Zuwendung erfordert – dies ist durch KI kaum ersetzbar. Der Schweizer Pflegebereich kämpft mit akutem Fachkräftemangel, weshalb der politische und gesellschaftliche Fokus auf Unterstützung statt Ersatz liegt. KI kann als Assistenztechnologie (z.B. Vitaldaten-Monitoring, Pflegedokumentation) eingesetzt werden, ersetzt aber die Kernkompetenz der ganzheitlichen Patientenbetreuung nicht.",-0.3,0.0,1.8,6.0,21d8371a7cdd,60k–100k CHF
Kaufmann/-frau EFZ (allg. Richtung),4110,110.0,58.0,Verwaltung,72000,Sekundär II,http://data.europa.eu/esco/occupation/6a163fef-dee8-4583-82b0-13b76d8a27b2,Fachverkäufer für Kraftfahrzeuge/Fachverkäuferin für Kraftfahrzeuge,"Fachverkäufer für Kraftfahrzeuge verkaufen in Fachgeschäften Autos und Kraftfahrzeuge. 
 
 ",4.2,5.5,5.0,3.5,4.5,2.5,"Fahrzeugkonfiguration, Preisvergleiche, Finanzierungsberechnungen und Produktinformationen könnten durch KI-gestützte Beratungstools und digitale Konfiguratoren übernommen werden; administrative Aufgaben wie Vertragsabwicklung und CRM-Datenpflege sind stark automatisierbar.",5-10 Jahre,"Der Autoverkauf in der Schweiz ist stark durch persönliches Vertrauen, emotionale Kaufentscheidungen und physische Probefahrten geprägt, was die vollständige Automatisierung begrenzt. Digitale Plattformen wie AutoScout24 oder die Online-Konfiguratoren von Herstellern (z.B. BMW, Mercedes) ersetzen bereits Teile der Beratungsleistung, doch der Abschluss komplexer Finanzierungs- und Leasingverträge sowie die Einwandbehandlung erfordern weiterhin menschliche Kompetenz. Im Schweizer Markt mit hohem Durchschnittspreis pro Fahrzeug bleibt die persönliche Beratung ein entscheidender Qualitätsfaktor, der den Automatisierungsdruck verlangsamt.",0.1,0.0,4.3,4.9,975e1dd75045,60k–100k CHF
Softwareentwickler/in,2512,95.0,16.0,ICT,130000,Tertiär,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,Softwareentwickler/Softwareentwicklerin,"Softwareentwickler implementieren oder programmieren Softwaresystemen jeder Art auf der Grundlage von Spezifikationen bzw. Entwürfen unter Einsatz von Programmiersprachen, Tools und Plattformen.",6.8,9.5,6.5,8.5,4.0,6.5,"Automatisierte Code-Generierung durch KI-Assistenten (GitHub Copilot, GPT-4 etc.) für Boilerplate-Code, Unit-Tests, Dokumentation, einfache CRUD-Applikationen und Debugging; insbesondere repetitive Implementierungsaufgaben nach klaren Spezifikationen",3-5 Jahre,"In der Schweiz sind Softwareentwickler stark im Fintech-, Medtech- und industriellen Automatisierungssektor tätig, wo KI-Tools bereits heute signifikante Produktivitätssteigerungen ermöglichen. Die hohe Nachfrage nach Entwicklern in der Schweiz federt kurzfristige Verdrängungseffekte ab, verschiebt jedoch das Anforderungsprofil deutlich Richtung Systemarchitektur, Prompt-Engineering und KI-Integration. Während Routineimplementierungen zunehmend automatisiert werden, bleibt die kreative Problemlösung, das Verständnis komplexer Domänenanforderungen und die Zusammenarbeit mit Stakeholdern ein menschlicher Mehrwert.",-0.2,0.2,6.8,8.8,9cd0d8764030,100k–150k CHF
Fachperson Gesundheit EFZ (FaGe),3221,80.0,88.0,Gesundheit,62000,Sekundär II,http://data.europa.eu/esco/occupation/5a9acd29-666c-4ca1-b10e-e086584a526b,Sozialbetreuer psychische Gesundheit/Sozialbetreuerin psychische Gesundheit,"Sozialbetreuer psychische Gesundheit helfen Menschen, die psychische oder emotionale Probleme haben oder von Drogenmissbrauch betroffen sind. Sie betreuen ihre Kunden individuell und überwachen deren Genesungsprozess. Dabei sorgen sie auch für Therapien, Krisenintervention, Beratung und Aufklärung.",2.4,3.5,2.5,2.0,3.0,1.0,"Dokumentation, Pflegeplanung und administrative Aufgaben könnten durch KI-gestützte Systeme teilautomatisiert werden; KI-Chatbots könnten ergänzende Erstunterstützung oder Psychoedukation übernehmen",>10 Jahre,"FaGe im Bereich psychische Gesundheit arbeiten stark mit menschlicher Empathie, Krisenintervention und individuellem Vertrauensaufbau – Kernkompetenzen, die KI nicht replizieren kann. In der Schweiz unterliegt die psychiatrische Pflege zudem strengen regulatorischen Anforderungen (KVG, kantonale Gesundheitsgesetze), die physische Präsenz und qualifizierte menschliche Betreuung vorschreiben. Administrative Entlastung durch KI-Tools ist möglich, aber eine eigentliche Automatisierung der Kerntätigkeit ist auf absehbare Zeit nicht realistisch.",-0.3,0.0,2.1,4.1,4606fd527830,60k–100k CHF
Detailhandelsfachmann/-frau EFZ,5223,70.0,65.0,Detailhandel,58000,Sekundär II,http://data.europa.eu/esco/occupation/6ba25e0f-7fb8-4879-a1f9-d4f8945966be,Kameramann/Kamerafrau,"Kameramänner/ Kamerafrauen sind für die visuelle Interpretation des Drehbuchs und sämtliche fotografische Aspekte des Films verantwortlich, einschließlich Bildeinstellungen, Farben, Licht, Stil und Drehorte. Sie geben dem Film bzw. der Fernsehsendung ein optisches Erscheinungsbild und wählen die Drehausrüstung aus, einschließlich der Objektive und Filter. Bildgestaltende Kameramänner/-frauen leiten die Teams an, die die optischen Geräte und die Beleuchtung bedienen. Um die gewünschte Wirkung zu erzielen, arbeiten sie mit dem Film- und Fernsehregisseur/der Film- und Fernsehregisseurin zusammen.",3.2,4.0,3.5,2.5,1.5,3.0,"Automatisierte Bildstabilisierung, KI-gestützte Belichtungs- und Fokusassistenz sowie algorithmische Farbkorrektur könnten technische Teilaufgaben übernehmen.",>10 Jahre,"Die Kameraarbeit erfordert ein hohes Mass an künstlerischer Kreativität, situativem Urteilsvermögen und enger Zusammenarbeit mit Regie und Team, was sie weitgehend resistent gegenüber KI-Automatisierung macht. In der Schweiz mit ihrer starken Film- und Medienproduktionslandschaft (SRF, SRG, Zurich Film Festival) bleibt der Bedarf an erfahrenen Bildgestalterinnen und Bildgestaltern hoch. KI kann zwar technische Hilfsfunktionen übernehmen, die kreative Vision und die zwischenmenschliche Kollaboration am Set bleiben jedoch unersetzlich.",0.2,-0.2,3.2,4.0,3408dba22d8b,< 60k CHF
Führungskräfte in Vertrieb und Marketing,1221,55.2,36.5,Verwaltung,120000,Tertiär,http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c,Führungskraft im Vertrieb,"Führungskräfte im Vertrieb entwickeln Absatz- und Zielstrategien für ein Unternehmen. Sie leiten Verkaufsteams, weisen auf der Grundlage der Pläne Absatzressourcen zu, priorisieren und verfolgen wichtige Interessentinnen und Interessenten („Leads“), entwickeln und verfeinern Verkaufsargumente und unterhalten eine Verkaufsplattform, um sämtliche Interessentinnen und Interessenten und Verkäufe zu verfolgen.",4.8,7.5,4.5,4.0,4.0,2.5,"CRM-Datenpflege, Lead-Scoring, Pipeline-Analyse, Reporting und Ressourcenallokation können durch KI-Tools (z.B. Salesforce Einstein, HubSpot AI) weitgehend automatisiert werden; ebenso die Erstellung von Verkaufsargumenten und Marktanalysen.",3-5 Jahre,"In der Schweiz sind Vertriebsführungskräfte stark in internationale und mehrsprachige Märkte eingebunden, was strategisches Urteilsvermögen, kulturelles Fingerspitzengefühl und vertrauensbasierte Kundenbeziehungen erfordert – Bereiche, in denen KI derzeit noch deutliche Grenzen hat. Operative Teilaufgaben wie Datenanalyse, Forecasting und Lead-Priorisierung werden jedoch rasch durch KI-Assistenzsysteme übernommen, was Führungskräfte entlastet, aber auch Stellen im mittleren Management gefährdet. Der Kern der Führungsrolle – Teamentwicklung, strategische Positionierung und Verhandlungsführung auf Entscheiderebene – bleibt mittelfristig menschlich geprägt.",0.1,0.2,5.1,7.9,34d1154b1b98,100k–150k CHF
Primarlehrer/in,2341,55.0,72.0,Bildung,102000,Tertiär,http://data.europa.eu/esco/occupation/5d46e448-b6bb-48e5-b245-5aad68e06085,Brennschneider/Brennschneiderin,"Brennschneider übernehmen die Einrichtung und Bedienung von Maschinen, die dafür konstruiert sind, überschüssiges Material von einem Metallwerkstück mit einem Brenner zu entfernen bzw. zu verbrennen. Dabei wird das Material bis zu seiner Entzündungstemperatur erhitzt und dann infolge einer Reaktion mit einem Sauerstoffstrom in ein Metalloxid umgewandelt, das als Schlacke aus der Fuge im Werkstück abfließt.",2.8,1.5,5.5,1.5,3.0,1.5,Maschinensteuerung und Pfadplanung beim CNC-gesteuerten Brennschneiden könnte durch KI-optimierte Systeme präziser und effizienter gestaltet werden; manuelle Einrichtungsschritte könnten teilautomatisiert werden,5-10 Jahre,"Brennschneider arbeiten primär physisch in der Metallverarbeitung und sind stark auf manuelle Geschicklichkeit, Materialkenntnisse und Sicherheitsbeurteilung angewiesen – Faktoren, die KI schlecht ersetzen kann. In der Schweizer Präzisionsindustrie (MEM-Sektor) werden zwar CNC- und automatisierte Brennschneidanlagen eingesetzt, jedoch erfordert die Einrichtung, Qualitätskontrolle und Störungsbehebung weiterhin erfahrene Fachkräfte. Der Fachkräftemangel im Schweizer Industriesektor verringert zusätzlich den Automatisierungsdruck auf diesen Beruf kurzfristig.",-0.2,0.2,2.8,6.4,a7ac3d1f3ba7,100k–150k CHF
Bankkaufmann/-frau,3311,55.0,45.0,Finanzen,92000,Sekundär II,http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089,Bankbediensteter/Bankbedienstete,"Bankbedienstete haben zumeist Kontakt zu Bankkunden. Sie werben für die Produkte und Dienstleistungen der Bank und stellen Informationen über die persönlichen Konten der Kunden und die damit verbundenen Überweisungen, Einlagen, Spareinlagen usw. bereit. Sie bestellen Bankkarten und Schecks für die Kunden, nehmen Barmittel und Schecks entgegen und verrechnen sie und sorgen für die Einhaltung interner Richtlinien. Sie bearbeiten die Kundenkonten, wickeln Zahlungen ab und verwalten die Verwendung von Tresoren und Schließfächern.",6.4,8.5,8.0,4.0,7.5,4.5,"Routinetransaktionen (Überweisungen, Kontoabfragen, Kartenbestellungen), Kontoverwaltung und standardisierte Beratung können durch KI-Chatbots, automatisierte Bankensysteme und Self-Service-Terminals vollständig übernommen werden.",3-5 Jahre,"Schweizer Grossbanken wie UBS und Credit Suisse (jetzt CS/UBS) sowie Kantonalbanken investieren massiv in digitale Transformation und KI-gestützte Automatisierung des Filialgeschäfts. Die Anzahl Bankfilialen in der Schweiz ist bereits stark rückläufig – viele Routinetätigkeiten werden durch E-Banking und KI-Assistenten ersetzt. Verbleibende Stellen fokussieren sich auf komplexe Beratung (Hypotheken, Vorsorge), wo menschliches Vertrauen und regulatorische Anforderungen (FINMA) noch eine Rolle spielen.",0.3,0.0,6.7,6.2,663b0dfeca46,60k–100k CHF
Soziale Fachkräfte,3412,50.7,66.4,Soziales,72000,Sekundär II,http://data.europa.eu/esco/occupation/c18fddf5-cfc4-4f9c-94d6-86608faaa1dd,Manager im Bereich soziale Dienste/Managerin im Bereich soziale Dienste,"Manager im Bereich soziale Dienste/Managerinnen im Bereich soziale Dienste sind für die strategische und operative Leitung und die Personal- und Ressourcenverwaltung in Bezug auf soziale Dienste verantwortlich. Sie sind für die Umsetzung von Rechtsvorschriften und Strategien zuständig, beispielsweise in Bezug auf schutzbedürftige Personen.  Sie fördern soziale Arbeit und soziale Fürsorge sowie Ethik, Gleichheit, Vielfalt und einschlägige Verhaltenskodizes für die Praxis. Sie sind für die Zusammenarbeit mit anderen Fachkräften in den Bereichen Strafjustiz, Bildung und Gesundheit zuständig. Sie können dafür verantwortlich sein, einen Beitrag zur Entwicklung der regionalen bzw. staatlichen Politik zu leisten.",3.6,6.0,3.5,4.0,3.5,2.0,"Verwaltungs- und Reportingaufgaben wie Falldokumentation, Ressourcenplanung, Compliance-Monitoring sowie die Analyse sozialpolitischer Daten könnten durch KI-gestützte Tools unterstützt oder teilautomatisiert werden.",5-10 Jahre,"Soziale Fachkräfte im Management bewegen sich in einem hochkomplexen, menschenzentrierten Umfeld, das stark von ethischen Abwägungen, inter-institutioneller Zusammenarbeit und politischen Prozessen geprägt ist – wie etwa der enge Austausch mit KESB, Sozialdiensten und Kantonsebene in der Schweiz. Die strategische Leitungsfunktion, die Aushandlung von Werten wie Gleichheit und Diversity sowie die Führungsverantwortung gegenüber Mitarbeitenden und vulnerablen Klientengruppen erfordert ein hohes Mass an Empathie und Urteilsvermögen, das KI derzeit nicht ersetzen kann. KI kann mittelfristig administrative Teilaufgaben abnehmen, den Kernberuf aber kaum substituieren.",0.0,0.0,3.6,4.8,a02ee2a02d96,60k–100k CHF
Reinigungskraft / Hauswart,9112,50.0,72.0,Dienstleistungen,46000,Keine Ausbildung,http://data.europa.eu/esco/occupation/731ecac4-06e8-4ec2-a559-101fecbd9183,Raumpfleger/Raumpflegerin,"Raumpfleger reinigen Gästezimmer und andere öffentliche Bereiche, räumen sie auf und füllen Vorräte auf.",2.8,1.0,6.5,1.5,3.0,3.5,"Autonome Reinigungsroboter (z.B. für Böden, Fenster) könnten repetitive Reinigungsaufgaben in standardisierten Umgebungen wie Hotelzimmern übernehmen; KI-gestützte Planungssoftware könnte Einsätze und Verbrauchsmaterialien optimieren.",>10 Jahre,"Obwohl Reinigungsaufgaben teilweise repetitiv sind, erfordern sie ausgeprägte Feinmotorik, Anpassungsfähigkeit an unstrukturierte Umgebungen und situatives Urteilsvermögen – Bereiche, in denen Robotik noch stark limitiert ist. In der Schweiz sind die hohen Arbeitskosten zwar ein Treiber für Automatisierung, jedoch macht die Komplexität variierender Räumlichkeiten (Hotels, Büros, Privathaushalte) einen vollständigen Ersatz auf absehbare Zeit unrealistisch. Kurzfristig ist eine Ergänzung durch Hilfsmittel wie Saugroboter wahrscheinlicher als eine echte Substitution.",0.0,-0.2,2.5999999999999996,1.7,295c0732d932,< 60k CHF
Köche,5120,48.9,34.6,Gastgewerbe,52000,Sekundär II,http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,Koch/Köchin,"Köche sind in Küchen tätig und dafür qualifiziert, Lebensmittel – in der Regel in einem Privathaushalt, einer Institution oder einem Unternehmen – zuzubereiten und anzurichten.",2.8,1.5,5.5,1.5,3.0,4.0,"Repetitive Zubereitungsschritte in Grossküchen (z.B. Schneiden, Portionieren, standardisierte Gerichte) könnten durch Küchenroboter und automatisierte Zubereitungssysteme teilweise übernommen werden; KI kann zudem bei Menüplanung und Bestelloptimierung unterstützen.",>10 Jahre,"Kochen erfordert ausgeprägte Feinmotorik, sensorisches Urteilsvermögen und kreative Anpassungsfähigkeit, was eine vollständige Automatisierung noch lange verhindert. In der Schweiz mit ihrer hohen Gastronomiequalität und dem Fokus auf kulinarische Exzellenz bleibt menschliches Handwerk besonders wertgeschätzt – der Fachkräftemangel in der Branche macht Automatisierungsversuche zwar attraktiver, die technischen Hürden bleiben jedoch erheblich. Industrielle Grossküchen (Spitäler, Kantinen) sind eher automatisierungsgefährdet als kreative Restaurantküchen.",0.0,-0.2,2.5999999999999996,3.3,ccb9fbfc7d2c,< 60k CHF
Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),6130,46.6,19.9,Landwirtschaft,52000,Sekundär II,http://data.europa.eu/esco/occupation/1c1e86f9-6347-42d6-aa6e-c95b138bf640,Landwirt/Landwirtin,Landwirte betreiben kleine Unternehmen oder sind Selbstversorger. Sie kümmern sich um alle Aspekte der Viehhaltung und des Pflanzenanbaus.,2.8,2.5,4.5,1.5,4.0,5.0,"Präzisionslandwirtschaft (Sensorik, Drohnen, GPS-gesteuerte Maschinen) kann Routineaufgaben wie Bodenanalyse, Erntezeitpunkt-Optimierung und Tierkontrolle teilweise automatisieren; Entscheidungsunterstützung durch KI-basierte Agrarsoftware",5-10 Jahre,"Schweizer Landwirtschaft ist durch kleinstrukturierte Betriebe, alpines Gelände und hohe Direktzahlungsabhängigkeit geprägt, was grosse Automatisierungsinvestitionen wirtschaftlich oft unrentabel macht. Die Kerntätigkeit erfordert stark physische Anwesenheit, situatives Urteilsvermögen (Wetter, Tierverhalten, Bodenbeschaffenheit) und handwerkliches Können, das KI nur ergänzen, nicht ersetzen kann. Agrartechnologie wie Smart Farming wird als Assistenzsystem integriert, verdrängt den Landwirt aber kaum vollständig.",0.0,-0.2,2.5999999999999996,3.7,8dee34eb1ffd,< 60k CHF
